movieNm,movieCd,image,link,userRating
스파이더맨: 뉴 유니버스,20183238,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171725_P18_175530.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171725,9.21
부탁 하나만 들어줘,20182082,https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171452_P19_174244.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171452,7.81
스윙키즈,20175547,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164101_P62_155759.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164101,8.36
아쿠아맨,20180290,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151153_P19_095147.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151153,8.35
마약왕,20168773,https://ssl.pstatic.net/imgmovie/mdi/mit110/1572/157297_P23_134212.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=157297,6.33
그린치,20182421,https://ssl.pstatic.net/imgmovie/mdi/mit110/1506/150688_P30_101919.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=150688,8.33
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20183479,https://ssl.pstatic.net/imgmovie/mdi/mit110/1729/172975_P10_141815.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172975,8.29
극장판 포켓몬스터 모두의 이야기,20183375,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172187_P19_110125.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172187,8.97
범블비,20186281,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164139_P12_153521.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164139,8.09
PMC: 더 벙커,20170658,https://ssl.pstatic.net/imgmovie/mdi/mit110/1660/166092_P35_104446.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=166092,5.21
점박이 한반도의 공룡2 : 새로운 낙원,20183785,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180379_P32_111508.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180379,9.13
주먹왕 랄프 2: 인터넷 속으로,20189463,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152632_P19_104759.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152632,8.68
언니,20184187,https://ssl.pstatic.net/imgmovie/mdi/mit110/1874/187444_P01_113615.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187444,8.33
말모이,20184105,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167699_P40_175859.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167699,9.07
내안의 그놈,20176251,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164172_P08_114039.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164172,8.19
극장판 공룡메카드: 타이니소어의 섬,20183915,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180372_P16_101254.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180372,9.14
그린 북,20184574,https://ssl.pstatic.net/imgmovie/mdi/mit110/1715/171539_P26_135622.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171539,9.61
글래스,20182544,https://ssl.pstatic.net/imgmovie/mdi/mit110/1638/163826_P07_174644.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163826,7.40
언더독,20186324,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144318_P19_100103.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144318,9.31
미래의 미라이,20182588,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172137_P12_134909.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172137,6.05
극한직업,20182530,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167651_P106_141030.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167651,8.53
러브 유어셀프 인 서울,20185124,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180220_P01_102406.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180220,9.28
몬스터 파크,20189385,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168056_P10_100606.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168056,7.19
뺑반,20180868,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164173_P45_171744.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164173,6.08
드래곤 길들이기 3,20186261,https://ssl.pstatic.net/imgmovie/mdi/mit110/1091/109193_P21_103935.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109193,9.24
극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,https://ssl.pstatic.net/imgmovie/mdi/mit110/1815/181554_P23_112202.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181554,8.75
가버나움,20184896,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174830_P17_104205.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174830,9.59
알리타: 배틀 엔젤,20188282,https://ssl.pstatic.net/imgmovie/mdi/mit110/0667/66728_P38_102726.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=66728,8.71
레고 무비2,20185444,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125438_P06_114959.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125438,8.73
증인,20185881,https://ssl.pstatic.net/imgmovie/mdi/mit110/1773/177374_P100_112832.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=177374,9.07
해피 데스데이 2 유,20195915,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181411_P02_101349.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181411,7.39
기묘한 가족,20174169,https://ssl.pstatic.net/imgmovie/mdi/mit110/1690/169078_P66_101231.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169078,5.89
메리 포핀스 리턴즈,20184888,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151151_P24_105029.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151151,8.18
명탐정 코난:전율의 악보,20162003,https://ssl.pstatic.net/imgmovie/mdi/mit110/0482/48233_P05_140218.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=48233,8.29
사바하,20177539,https://ssl.pstatic.net/imgmovie/mdi/mit110/1670/167099_P13_101134.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167099,7.20
신데렐라:마법 반지의 비밀,20195743,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181959_P11_114544.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181959,6.37
해리포터와 비밀의 방,20020222,https://ssl.pstatic.net/imgmovie/mdi/mit110/0339/C3930-06.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=33930,8.86
콜드 체이싱,20185576,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181409_P30_100656.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181409,6.58
항거:유관순 이야기,20196601,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182360_P11_140223.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182360,8.59
자전차왕 엄복동,20176442,https://ssl.pstatic.net/imgmovie/mdi/mit110/1590/159070_P13_114738.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159070,3.84
